zip,rent,sqm_rent,living_space,offer_year,const_year,flattype,interior_qual
14109,1399.7,16.999028418751518,82.34,2019,1920,apartment,sophisticated
13086,830.0,8.251317228352718,100.59,2019,1912,ground_floor,normal
10785,3417.6,16.0,213.6,2019,2018,penthouse,sophisticated
12057,490.0,10.0,49.0,2019,1972,apartment,normal
13355,1150.0,17.024426350851222,67.55,2019,2018,roof_storey,sophisticated
12683,939.0,13.56936416184971,69.2,2019,2019,apartment,sophisticated
12163,749.89,10.072397582269978,74.45,2019,1981,apartment,normal
10115,1550.0,14.220183486238533,109.0,2019,2012,apartment,luxury
12439,1383.39,15.071249591458765,91.79,2019,2019,roof_storey,sophisticated
12051,1164.0,16.0,72.75,2019,2018,terraced_flat,sophisticated
12555,813.0,11.51068950870735,70.63,2019,2018,apartment,sophisticated
10317,850.0,10.897435897435898,78.0,2019,2019,roof_storey,sophisticated
10785,2035.65,15.0,135.71,2019,2015,apartment,sophisticated
13158,1092.0,14.0,78.0,2019,2019,raised_ground_floor,sophisticated
12587,1485.0,14.00943396226415,106.0,2018,2017,apartment,sophisticated
10551,869.0,15.492957746478872,56.09,2019,1920,apartment,sophisticated
10315,649.0,9.656301145662848,67.21,2019,1912,apartment,sophisticated
13403,669.0,9.291666666666666,72.0,2019,1992,maisonette,normal
12205,300.0,13.043478260869565,23.0,2018,1900,apartment,sophisticated
13407,450.0,13.837638376383763,32.52,2019,1959,apartment,sophisticated
10179,1195.19,17.709142095125205,67.49,2019,2018,apartment,sophisticated
10119,3500.0,16.945049624788187,206.55,2019,1831,maisonette,sophisticated
12349,639.7,9.56489234449761,66.88,2019,1996,apartment,normal
14193,790.6,10.0,79.06,2018,1992,ground_floor,normal
13086,1500.0,14.285714285714286,105.0,2019,2017,apartment,sophisticated
10827,1032.0,12.0,86.0,2019,1900,apartment,normal
10963,2400.0,11.11111111111111,216.0,2018,2006,apartment,sophisticated
13585,344.0,10.120623712856721,33.99,2019,1904,apartment,simple
10437,1090.0,17.246835443037973,63.2,2018,2018,apartment,sophisticated
10437,608.0,16.0,38.0,2019,1900,apartment,normal
12621,1493.7,3.09896265560166,482.0,2019,1995,penthouse,sophisticated
13158,1098.0,13.498893533316942,81.34,2018,1850,other,sophisticated
10249,1317.07,12.749951597289447,103.3,2018,1900,apartment,normal
12167,1950.0,13.175675675675675,148.0,2018,1913,raised_ground_floor,sophisticated
12524,682.77,11.0,62.07,2019,2018,apartment,sophisticated
12205,2090.0,19.0,110.0,2019,2016,apartment,luxury
10717,2550.0,16.451612903225808,155.0,2019,1906,roof_storey,luxury
13591,1116.0,14.493506493506494,77.0,2019,2019,apartment,sophisticated
10717,1400.0,20.28985507246377,69.0,2019,1999,apartment,normal
10707,2800.0,17.397787995526283,160.94,2019,1890,maisonette,sophisticated
12629,510.6,7.500000000000001,68.08,2019,1989,apartment,sophisticated
13055,760.0,9.5,80.0,2018,1998,apartment,sophisticated
12555,1205.0,14.518072289156626,83.0,2019,2018,ground_floor,sophisticated
13469,349.0,8.512195121951219,41.0,2019,1967,apartment,normal
14059,850.0,10.925449871465297,77.8,2018,1900,apartment,sophisticated
13593,256.22,6.924864864864865,37.0,2019,1973,apartment,normal
12487,910.0,13.0,70.0,2019,1911,apartment,luxury
12527,751.99,11.070072133078167,67.93,2019,1996,roof_storey,sophisticated
12559,1246.0,10.749719610042275,115.91,2019,1997,apartment,normal
10557,1550.81,17.850023020257826,86.88,2019,2019,apartment,sophisticated
12557,500.0,11.345586566825505,44.07,2019,1892,raised_ground_floor,normal
13597,670.0,9.37062937062937,71.5,2019,1896,apartment,normal
13158,599.48,14.0,42.82,2019,1995,half_basement,normal
10117,4320.0,18.0,240.0,2019,2014,penthouse,luxury
13595,475.0,9.5,50.0,2019,1928,ground_floor,sophisticated
10117,1250.0,13.440860215053764,93.0,2019,2016,apartment,sophisticated
10115,1200.0,15.0,80.0,2018,1905,ground_floor,sophisticated
10117,2046.0,22.0,93.0,2018,2016,apartment,luxury
10551,549.0,13.071428571428571,42.0,2018,1966,apartment,sophisticated
13591,496.0,8.201058201058201,60.48,2019,1997,apartment,normal
10318,750.0,11.11111111111111,67.5,2018,1937,roof_storey,normal
13357,670.0,25.76923076923077,26.0,2019,2018,apartment,sophisticated
12587,1008.0,8.0,126.0,2019,1880,roof_storey,normal
10963,1290.0,31.08433734939759,41.5,2018,2018,apartment,sophisticated
12205,227.85,7.75,29.4,2019,1904,half_basement,normal
12279,719.1,10.0,71.91,2019,1974,apartment,normal
12555,1000.0,11.990407673860911,83.4,2019,2018,loft,sophisticated
12305,1750.0,9.943181818181818,176.0,2019,2000,roof_storey,sophisticated
13407,1550.0,16.482347937048065,94.04,2019,1910,apartment,sophisticated
10317,344.0,7.076733182472743,48.61,2019,1956,apartment,normal
12489,1585.0,12.992868267890811,121.99,2019,2017,maisonette,luxury
13403,559.0,9.982142857142858,56.0,2019,1960,apartment,normal
13189,1023.36,12.0,85.28,2019,1900,apartment,normal
12277,1287.0,13.392299687825183,96.1,2019,2018,ground_floor,sophisticated
13587,832.0,8.996539792387543,92.48,2019,1995,roof_storey,sophisticated
13357,630.0,10.24390243902439,61.5,2019,1900,apartment,sophisticated
10587,760.0,10.005265929436547,75.96,2019,1987,apartment,normal
13593,579.0,6.579545454545454,88.0,2019,1972,apartment,normal
12207,599.0,15.402417073797892,38.89,2019,1968,apartment,sophisticated
